,,,,,,,,,,,,,,,,
Date Left,time Left,Date Arrived,Time Arrived,Tugboat Name,client,Vessel Name,Port Name,Terminal Name,Activity / Service Description,for,Remarks,Voyage #,,,,
11/02/2024,15:20,11/02/2024,16:30,BOHOL SEA,,MT AVA,DAVAO,DAVAO_INSULAR OIL,UNDOCKING,,,332,,,,
11/02/2024,22:50,11/02/2024,23:00,BATANGAS MOORING BOAT,,MT MATIPUNO,BATANGAS,BATANGAS_SRDC BATANGAS,UNMOORING,,,331,,,,
11/02/2024,22:50,11/02/2024,23:40,CHOKWANG,,MT MATIPUNO,BATANGAS,BATANGAS_SRDC BATANGAS,UNDOCKING,,CM Remias Jogarap on duty,331,,,,
11/02/2024,22:50,11/03/2024,02:10,SUN JIN NO.505,,MT MALINGAP,BATANGAS,BATANGAS_SRDC BATANGAS,UNDOCKING,,Sir nagkamali po ako ng time imbis na 2350h nalagay kupo ng 2250h Kaya kinorect kupo tnx,362,,,,
11/02/2024,23:50,11/02/2024,23:55,BATANGAS MOORING BOAT,,MT MALINGAP,BATANGAS,BATANGAS_SRDC BATANGAS,UNMOORING,,,362,,,,
11/02/2024,23:50,11/03/2024,01:50,CHOKWANG,,MT MALINGAP,BATANGAS,BATANGAS_SRDC BATANGAS,UNDOCKING,,CM Remias Jogarap on duty,362,,,,
11/03/2024,04:45,11/03/2024,06:00,BOHOL SEA,,MT CASANDRA,DAVAO,DAVAO_INSULAR OIL,DOCKING,,,362,,,,
11/03/2024,04:45,11/03/2024,06:10,CEBU STRAIT,,MT CASANDRA,DAVAO,DAVAO_INSULAR OIL,DOCKING,,,362,,,,
11/03/2024,05:40,11/03/2024,07:10,PANAY GULF,,MT AVA,DAVAO,DAVAO_SRDC SASA,DOCKING,,,332,,,,
11/03/2024,06:00,11/03/2024,07:10,BOHOL SEA,,MT AVA,DAVAO,DAVAO_SRDC SASA,DOCKING,,,332,,,,
11/03/2024,06:05,11/04/2024,05:00,CEBU STRAIT,,MT CASANDRA,DAVAO,DAVAO_INSULAR OIL,TENDING,,,362,,,,
11/04/2024,00:30,11/04/2024,01:45,PANAY GULF,,MT AVA,DAVAO,DAVAO_SRDC SASA,UNDOCKING,,,332,,,,
11/04/2024,00:45,11/04/2024,01:50,BOHOL SEA,,MT AVA,DAVAO,DAVAO_SRDC SASA,UNDOCKING,,,332,,,,
11/04/2024,04:55,11/04/2024,05:45,BOHOL SEA,,MT CASANDRA,DAVAO,DAVAO_INSULAR OIL,UNDOCKING,,,362,,,,
11/04/2024,04:55,11/04/2024,05:30,CEBU STRAIT,,MT CASANDRA,DAVAO,DAVAO_INSULAR OIL,UNDOCKING,,,362,,,,
11/04/2024,05:05,11/04/2024,06:50,PANAY GULF,,MV THAI BINH 68,DAVAO,DAVAO_KUDOS,UNDOCKING,,,,,,,
11/04/2024,05:55,11/04/2024,06:15,CEBU STRAIT,,MV THAI BINH 68,DAVAO,DAVAO_KUDOS,UNDOCKING,,,,,,,
11/04/2024,06:20,11/04/2024,08:20,BOHOL SEA,,MT CHELSEA ENDURANCE,DAVAO,DAVAO_INSULAR OIL,DOCKING,,,241,,,,
11/04/2024,07:15,11/04/2024,08:20,CEBU STRAIT,,MT CHELSEA ENDURANCE,DAVAO,DAVAO_INSULAR OIL,DOCKING,,,241,,,,
11/04/2024,08:25,11/05/2024,08:25,BOHOL SEA,,MT CHELSEA ENDURANCE,DAVAO,DAVAO_INSULAR OIL,TENDING,,,241,,,,
11/04/2024,18:20,11/04/2024,19:20,BATANGAS MOORING BOAT,,MT PANGLAO ISLAND,BATANGAS,BATANGAS_SRDC BATANGAS,MOORING,,,880,,,,
11/04/2024,18:20,11/04/2024,20:10,SUN JIN NO.505,,MT PANGLAO ISLAND,BATANGAS,BATANGAS_SRDC BATANGAS,DOCKING,,,880,,,,
11/05/2024,06:24,11/05/2024,08:04,TUG 20,,MT MURE MURE,JIMENEZ,JIMENEZ_TMOMI,DOCKING,,,,,,,
11/05/2024,07:55,11/05/2024,09:15,CEBU STRAIT,,MT CHELSEA ENDURANCE,DAVAO,DAVAO_INSULAR OIL,UNDOCKING,,,241,,,,
11/05/2024,08:25,11/05/2024,09:10,BOHOL SEA,,MT CHELSEA ENDURANCE,DAVAO,DAVAO_INSULAR OIL,UNDOCKING,,,241,,,,
11/05/2024,11:30,11/05/2024,14:15,BOHOL SEA,,MT LUCKY MAY,DAVAO,DAVAO_INSULAR OIL,DOCKING,,,2404,,,,
11/05/2024,11:30,11/05/2024,13:55,CEBU STRAIT,,MT LUCKY MAY,DAVAO,DAVAO_INSULAR OIL,DOCKING,,,2404,,,,
11/05/2024,11:30,11/05/2024,14:00,PANAY GULF,,MT LUCKY MAY,DAVAO,DAVAO_INSULAR OIL,DOCKING,,,2404,,,,
11/05/2024,14:15,11/07/2024,00:50,BOHOL SEA,,MT LUCKY MAY,DAVAO,DAVAO_INSULAR OIL,TENDING,,,2404,,,,
11/05/2024,16:10,11/05/2024,17:10,BATANGAS MOORING BOAT,,MT PANGLAO ISLAND,BATANGAS,BATANGAS_SRDC BATANGAS,UNMOORING,,,880,,,,
11/05/2024,16:10,11/05/2024,17:05,CHOKWANG,,MT PANGLAO ISLAND,BATANGAS,BATANGAS_SRDC BATANGAS,UNDOCKING,,CM Remias Jogarap on Duty,880,,,,
11/06/2024,01:55,11/07/2024,12:55,PANAY GULF,,MT LUCKY MAY,DAVAO,DAVAO_INSULAR OIL,TENDING,,Proper duty on watch ,2404,,,,
11/06/2024,10:40,11/06/2024,12:25,PANAY GULF,,MV SEIYO SPRING,DAVAO,DAVAO_LEGASPI OIL,DOCKING,,,2411,,,,
11/06/2024,10:45,11/06/2024,12:40,CEBU STRAIT,,MV SEIYO SPRING,DAVAO,DAVAO_LEGASPI OIL,DOCKING,,,2411,,,,
11/06/2024,20:30,11/06/2024,22:00,TABANGAO,,LPG/C HONG TAI,CEBU,CEBU_PHOENIX NAGA,DOCKING,,,2438,,,,
