017,STANFORD,STANFORD_[017],,017,,,,,,,
082,SUGBU 3,SUGBU 3_[082],,082,,,,,,,
044,SUGBU 5,SUGBU 5_[044],,044,,,,,,,
104,SUGBU 8,SUGBU 8_[104],,104,,,,,,,
070,TAKLOBO,TAKLOBO_[070],,070,,,,,,,
047,TALOFOFO,TALOFOFO_[047],,047,,,,,,,
019,TUBBATAHA,TUBBATAHA_[019],,019,,,,,,,
083,TUG 1,TUG 1_[083],,083,,,,,,,
063,TUG 10,TUG 10_[063],,063,,,,,,,
081,TUG 5,TUG 5_[081],,081,,,,,,,
033,TUG98,TUG98_[033],,033,,,,,,,
020,WEZEN,WEZEN_[020],,020,,,,,,,
091,ZAMBOANGA STAR,ZAMBOANGA STAR_[091],,091,,,,,,,
106,TACLOBAN PILOT LAUNCH 3,TACLOBAN PILOT LAUNCH 3_[106],,106,,,,,,,
107,STRONG INTEGRITY,STRONG INTEGRITY_[107],,107,,,,,,,
108,DAVAO PILOT LAUNCH,DAVAO PILOT LAUNCH_[108],,108,,,,,,,
110,FOSCON DIAMOND,FOSCON DIAMOND_[110],,110,,,,,,,
111,FOSCON EMERALD,FOSCON EMERALD_[111],,111,,,,,,,
112,ELIJAH MERKS,ELIJAH MERKS_[112],,112,,,,,,,
116,FOSCON BRIDGE,FOSCON BRIDGE_[116],,116,,,,,,,
119,FOSCON CHAMPION,FOSCON CHAMPION_[119],,119,,,,,,,
120,SL MABINI 1,SL MABINI 1_[120],,120,,,,,,,
126,SEDAR 2,SEDAR 2_[126],,126,,,,,,,
127,KEID,KEID_[127],,127,,,,,,,
128,SL LIMAY 6,SL LIMAY 6_[128],,128,,,,,,,
129,SEDAR 8,SEDAR 8_[129],,129,,,,,,,
130,GREAT LARK,GREAT LARK_[130],,130,,,,,,,
131,PACIFIC ROSE 17,PACIFIC ROSE 17_[131],,131,,,,,,,
132,MARISSA,MARISSA_[132],,132,,,,,,,
133,PINCTADA,PINCTADA_[133],,133,,,,,,,
134,PACIFIC ROSE 16,PACIFIC ROSE 16_[134],,134,,,,,,,
135,PACIFIC ROSE 18,PACIFIC ROSE 18_[135],,135,,,,,,,
136,LAKE SPLENDOR,LAKE SPLENDOR_[136],,136,,,,,,,
137,ATRIA,ATRIA_[137],,137,,,,,,,
138,SUGBU 7,SUGBU 7_[138],,138,,,,,,,
139,SUGBU 6,SUGBU 6_[139],,139,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
