ME
[01]_Client Activity (Docking/Undocking/Shifting/Tending/Towing etc)
[02]_Position Shifting
"[03]_Testing (Sea trial, repairs, etc)"
[04]_Rescue
"[05]_Drills (Safety, Emergency Response, etc)"










