date1,time1,date2,time2,tug,client,vessel,terminal,act,dur,
01/30/2025,17:10,01/30/2025,19:05,PANAY GULF,BEN LINE AGENCIES PHILS INC,MV CAMBERWELL,DAVAO_SASA PORT,UNDOCKING,1.92,ex-Legaspi
01/31/2025,11:50,01/31/2025,13:55,AMATA MARU,PHIL-CEB MARINE SERVICES INC.,MV RASALAS,DAVAO_SASA PORT,DOCKING,2.08,ex-Legaspi
01/31/2025,11:50,01/31/2025,13:50,BOHOL SEA,PHIL-CEB MARINE SERVICES INC.,MV RASALAS,DAVAO_SASA PORT,DOCKING,2.00,ex-Legaspi
02/01/2025,06:30,02/01/2025,07:30,BOHOL SEA,PHIL-CEB MARINE SERVICES INC.,MV RASALAS,DAVAO_SASA PORT,UNDOCKING,1.00,ex-Legaspi
02/01/2025,06:35,02/01/2025,07:35,CEBU STRAIT,PHIL-CEB MARINE SERVICES INC.,MV RASALAS,DAVAO_SASA PORT,UNDOCKING,1.00,ex-Legaspi
02/01/2025,17:00,02/01/2025,19:55,AMATA MARU,PHILHUA SHIPPING INC,MV ARIS LUCKY,DAVAO_SASA PORT,DOCKING,2.92,ex-Legaspi
02/01/2025,17:00,02/01/2025,20:05,PANAY GULF,PHILHUA SHIPPING INC,MV ARIS LUCKY,DAVAO_SASA PORT,DOCKING,3.08,ex-Legaspi
02/04/2025,04:15,02/04/2025,06:50,CEBU STRAIT,CLIO SHIPPING AND LOGISTICS PHILS. INC,MV RU CHENG SHAN,DAVAO_SASA PORT,DOCKING,2.58,ex-Legaspi
02/04/2025,04:30,02/04/2025,06:40,PANAY GULF,CLIO SHIPPING AND LOGISTICS PHILS. INC,MV RU CHENG SHAN,DAVAO_SASA PORT,DOCKING,2.17,ex-Legaspi
02/05/2025,06:05,02/05/2025,07:40,BOHOL SEA,PHILHUA SHIPPING INC,MV TAN AN HONESTY,DAVAO_SASA PORT,DOCKING,1.58,ex-Legaspi
02/05/2025,06:10,02/05/2025,07:40,CEBU STRAIT,PHILHUA SHIPPING INC,MV TAN AN HONESTY,DAVAO_SASA PORT,DOCKING,1.50,ex-Legaspi
02/05/2025,12:50,02/05/2025,13:35,AMATA MARU,PHILHUA SHIPPING INC,MV ARIS LUCKY,DAVAO_SASA PORT,UNDOCKING,0.75,ex-Global Port
02/05/2025,12:50,02/05/2025,13:20,PANAY GULF,PHILHUA SHIPPING INC,MV ARIS LUCKY,DAVAO_SASA PORT,UNDOCKING,0.50,ex-Global Port
02/06/2025,05:45,02/06/2025,07:35,CEBU STRAIT,PHIL-CEB MARINE SERVICES INC.,MV LORCON DUMAGUETE,DAVAO_SASA PORT,DOCKING,1.83,ex-Legaspi
02/06/2025,05:40,02/06/2025,07:20,BOHOL SEA,PHIL-CEB MARINE SERVICES INC.,MV LORCON DUMAGUETE,DAVAO_SASA PORT,DOCKING,1.67,ex-Legaspi
02/06/2025,21:10,02/06/2025,22:15,BOHOL SEA,PHIL-CEB MARINE SERVICES INC.,MV LORCON DUMAGUETE,DAVAO_SASA PORT,UNDOCKING,1.08,ex-Legaspi
02/06/2025,21:15,02/06/2025,22:25,CEBU STRAIT,PHIL-CEB MARINE SERVICES INC.,MV LORCON DUMAGUETE,DAVAO_SASA PORT,UNDOCKING,1.17,ex-Petron Sasa
02/07/2025,12:30,02/07/2025,13:55,BOHOL SEA,CLIO SHIPPING AND LOGISTICS PHILS. INC,MV RU CHENG SHAN,DAVAO_SASA PORT,UNDOCKING,1.42,ex-Legaspi
02/07/2025,12:30,02/07/2025,13:55,CEBU STRAIT,CLIO SHIPPING AND LOGISTICS PHILS. INC,MV RU CHENG SHAN,DAVAO_SASA PORT,UNDOCKING,1.42,ex-Legaspi
02/09/2025,09:40,02/09/2025,10:50,AMATA MARU,PHILHUA SHIPPING INC,MV TAN AN HONESTY,DAVAO_SASA PORT,UNDOCKING,1.17,ex-Legaspi
02/14/2025,20:35,02/14/2025,23:40,BOHOL SEA,PHIL-CEB MARINE SERVICES INC.,MV HG PERTH,DAVAO_SASA PORT,DOCKING,3.08,ex-Legaspi
02/14/2025,20:40,02/14/2025,23:35,CEBU STRAIT,PHIL-CEB MARINE SERVICES INC.,MV HG PERTH,DAVAO_SASA PORT,DOCKING,2.92,ex-Legaspi
02/18/2025,22:50,02/18/2025,23:50,AMATA MARU,PHIL-CEB MARINE SERVICES INC.,MV HG PERTH,DAVAO_SASA PORT,UNDOCKING,1.00,ex-Legaspi
02/18/2025,23:00,02/18/2025,23:50,PANAY GULF,PHIL-CEB MARINE SERVICES INC.,MV HG PERTH,DAVAO_SASA PORT,UNDOCKING,0.83,ex-Legaspi
02/28/2025,14:45,02/28/2025,16:15,AMATA MARU,PHIL-CEB MARINE SERVICES INC.,MV RASALAS,DAVAO_SASA PORT,DOCKING,1.50,ex-Legaspi
02/28/2025,14:50,02/28/2025,16:20,PANAY GULF,PHIL-CEB MARINE SERVICES INC.,MV RASALAS,DAVAO_SASA PORT,DOCKING,1.50,ex-Legaspi
03/01/2025,06:35,03/01/2025,07:35,BOHOL SEA,PHIL-CEB MARINE SERVICES INC.,MV RASALAS,DAVAO_SASA PORT,UNDOCKING,1.00,ex-Legaspi
03/01/2025,06:40,03/01/2025,07:40,CEBU STRAIT,PHIL-CEB MARINE SERVICES INC.,MV RASALAS,DAVAO_SASA PORT,UNDOCKING,1.00,ex-Legaspi
03/04/2025,03:30,03/04/2025,05:10,AMATA MARU,GAC PHILIPPINES INC,MV AFRICAN FLAMINGO,DAVAO_SASA PORT,DOCKING,1.67,ex-Legaspi
03/04/2025,03:45,03/04/2025,06:15,CEBU STRAIT,GAC PHILIPPINES INC,MV AFRICAN FLAMINGO,DAVAO_SASA PORT,DOCKING,2.50,ex-Legaspi
03/04/2025,03:25,03/04/2025,05:45,PANAY GULF,GAC PHILIPPINES INC,MV AFRICAN FLAMINGO,DAVAO_SASA PORT,DOCKING,2.33,ex-Legaspi
03/04/2025,11:10,03/04/2025,12:45,BOHOL SEA,CLIO SHIPPING AND LOGISTICS PHILS. INC,MV SPRING SHINE,DAVAO_SASA PORT,DOCKING,1.58,ex-Legaspi
03/04/2025,11:00,03/04/2025,12:55,CEBU STRAIT,CLIO SHIPPING AND LOGISTICS PHILS. INC,MV SPRING SHINE,DAVAO_SASA PORT,DOCKING,1.92,ex-Legaspi
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,DOCKING,1.947916667,#NAME?,#NAME?
,,,,,,,UNDOCKING,1.080808081,#NAME?,#NAME?
