MALAYAN MARITIME SERVICES INC.,,,,,,,,,,,,,,,,,,,,,
Dispatch Ticket For Billing,,,,,,,,,,,,,,,,,,,,,
"Date: June 26, 2026",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
COS #,DISPATCH #,DATE,SERVICE,VOYAGE #,CUSTOMER,VESSEL,PORT,TERMINAL,DATE/TIME           LEFT,DATE/TIME           ARRIVED,# OF HOURS,RATE INDICATOR,D I S P A T C H,,,,B A F,,,,TOTAL BILL AMOUNT
,,,,,,,,,,,,,RATE,BILL AMOUNT,DISCOUNT,NET AMOUNT,RATE,BILL AMOUNT,DISCOUNT,NET AMOUNT,
,,,,,,,,,,,,,,,,,,,,,
,260311U,03/30/2026,UNMOORING,,SITE RESOURCES DEVELOPMENT CORPORATION,MT MARINGAL,BATANGAS,SRDC,03/31/2026 14:50,03/31/2026 16:25,1.58,Per Move," 6,250.00 "," 6,250.00 ",," 6,250.00 ",    ,    ,,    ," 6,250.00 "
,260312M,04/05/2026,MOORING,,SITE RESOURCES DEVELOPMENT CORPORATION,MT MARINGAL,BATANGAS,SRDC,04/04/2026 23:55,04/05/2026 01:40,1.75,Per Move," 8,000.00 "," 8,000.00 ",," 8,000.00 ",    ,    ,,    ," 8,000.00 "
000000,26535-A,04/05/2026,DOCKING,,INSULAR OIL CORPORATION,MT BULUSAN II,BATANGAS,FLC CALACA,04/05/2026 04:15,04/05/2026 05:35,1.33,Per Move," 102,000.00 "," 102,000.00 ",," 102,000.00 "," 25,525.50 "," 33,948.92 ",," 33,948.92 "," 135,948.92 "
000000,26536-A,04/05/2026,DOCKING,,INSULAR OIL CORPORATION,MT BULUSAN II,BATANGAS,FLC CALACA,04/05/2026 04:20,04/05/2026 05:50,1.50,Per Move," 102,000.00 "," 102,000.00 ",," 102,000.00 "," 25,525.50 "," 38,288.25 ",," 38,288.25 "," 140,288.25 "
000000,26537-B,04/05/2026,UNDOCKING,,INSULAR OIL CORPORATION,MT BULUSAN II,BATANGAS,FLC CALACA,04/05/2026 20:40,04/05/2026 21:00,0.33,Per Move," 102,000.00 "," 102,000.00 ",," 102,000.00 "," 25,525.50 "," 25,525.50 ",," 25,525.50 "," 127,525.50 "
,260312U,04/06/2026,UNMOORING,,SITE RESOURCES DEVELOPMENT CORPORATION,MT MARINGAL,BATANGAS,SRDC,04/06/2026 00:50,04/06/2026 02:10,1.33,Per Move," 8,000.00 "," 8,000.00 ",," 8,000.00 ",    ,    ,,    ," 8,000.00 "
,260313M,04/17/2026,MOORING,,SITE RESOURCES DEVELOPMENT CORPORATION,MT PANGLAO ISLAND,BATANGAS,SRDC,04/17/2026 18:10,04/17/2026 20:05,1.92,Per Move," 8,000.00 "," 8,000.00 ",," 8,000.00 ",    ,    ,,    ," 8,000.00 "
,260313U,04/18/2026,UNMOORING,,SITE RESOURCES DEVELOPMENT CORPORATION,MT PANGLAO ISLAND,BATANGAS,SRDC,04/18/2026 17:05,04/18/2026 17:40,0.58,Per Move," 8,000.00 "," 8,000.00 ",," 8,000.00 ",    ,    ,,    ," 8,000.00 "
,260314M,04/22/2026,MOORING,,SITE RESOURCES DEVELOPMENT CORPORATION,MT MARINGAL,BATANGAS,SRDC,04/22/2026 13:20,04/22/2026 15:32,2.20,Per Move," 8,000.00 "," 8,000.00 ",," 8,000.00 ",    ,    ,,    ," 8,000.00 "
,260314U,04/23/2026,UNMOORING,,SITE RESOURCES DEVELOPMENT CORPORATION,MT MARINGAL,BATANGAS,SRDC,04/23/2026 04:30,04/23/2026 05:45,1.25,Per Move," 8,000.00 "," 8,000.00 ",," 8,000.00 ",    ,    ,,    ," 8,000.00 "
,5000034-A,05/13/2026,DOCKING,,"MAR-SHIPS AGENCY, INC.",MT HIGH TRADER,SUBIC,COASTAL,05/13/2026 00:00,05/13/2026 02:00,2.00,Per Hour,    ,    ,,    ," 28,792.80 "," 57,585.60 ",," 57,585.60 "," 57,585.60 "
,1080004301-A,05/13/2026,DOCKING,,"MAR-SHIPS AGENCY, INC.",MT HIGH TRADER,SUBIC,COASTAL,05/13/2026 00:05,05/13/2026 02:00,1.92,Per Hour,    ,    ,,    ," 28,792.80 "," 55,282.18 ",," 55,282.18 "," 55,282.18 "
,1740006497-A,05/14/2026,UNDOCKING,,"MAR-SHIPS AGENCY, INC.",MT HIGH TRADER,SUBIC,COASTAL,05/14/2026 10:25,05/14/2026 11:35,1.17,Per Hour,    ,    ,,    ," 28,792.80 "," 33,687.58 ",," 33,687.58 "," 33,687.58 "
,1270004767-A,05/14/2026,UNDOCKING,,"MAR-SHIPS AGENCY, INC.",MT HIGH TRADER,SUBIC,COASTAL,05/14/2026 10:25,05/14/2026 11:35,1.17,Per Hour,    ,    ,,    ," 28,792.80 "," 33,687.58 ",," 33,687.58 "," 33,687.58 "
,35437,05/15/2026,DOCKING,,"MAR-SHIPS AGENCY, INC.",MT HIGH TRADER,BATANGAS,SINISIAN LEMERY BATANGAS PORT,05/15/2026 20:25,05/15/2026 23:00,2.58,Per Move," 350,000.00 "," 350,000.00 ",," 350,000.00 "," 9,467.50 "," 9,467.50 ",," 9,467.50 "," 359,467.50 "
,35528,05/16/2026,UNDOCKING,,"MAR-SHIPS AGENCY, INC.",MT HIGH TRADER,BATANGAS,SINISIAN LEMERY BATANGAS PORT,05/16/2026 12:35,05/16/2026 14:00,1.42,Per Move," 350,000.00 "," 350,000.00 ",," 350,000.00 "," 9,467.50 "," 9,467.50 ",," 9,467.50 "," 359,467.50 "
,35712,05/17/2026,DOCKING,,VIA MARINE CORPORATION,MT CALLY,BATANGAS,CHEVRON,05/17/2026 11:05,05/17/2026 13:10,2.08,Per Move," 145,972.96 "," 145,972.96 ",," 145,972.96 ",    ,    ,,    ," 145,972.96 "
,26-0321M,05/17/2026,MOORING,,VIA MARINE CORPORATION,MT CALLY,BATANGAS,CHEVRON,05/17/2026 11:05,05/17/2026 13:10,2.08,Per Move," 8,960.00 "," 8,960.00 ",," 8,960.00 ",    ,    ,,    ," 8,960.00 "
,35711,05/18/2026,UNDOCKING,,VIA MARINE CORPORATION,MT CALLY,BATANGAS,CHEVRON,05/18/2026 05:10,05/18/2026 07:05,1.92,Per Move," 145,972.96 "," 145,972.96 ",," 145,972.96 ",    ,    ,,    ," 145,972.96 "
,26-0321U,05/18/2026,UNMOORING,,VIA MARINE CORPORATION,MT CALLY,BATANGAS,CHEVRON,05/18/2026 05:10,05/18/2026 07:05,1.92,Per Move," 8,960.00 "," 8,960.00 ",," 8,960.00 ",    ,    ,,    ," 8,960.00 "
,2026-14M,06/13/2026,MOORING,,SITE RESOURCES DEVELOPMENT CORPORATION,MT PANGLAO ISLAND,CEBU,SRDC LAPU LAPU,06/13/2026 05:42,06/14/2026 01:00,19.30,Per Move," 8,000.00 "," 8,000.00 ",," 8,000.00 ",    ,    ,,    ," 8,000.00 "
,2026-14U,06/14/2026,UNMOORING,,SITE RESOURCES DEVELOPMENT CORPORATION,MT PANGLAO ISLAND,CEBU,SRDC LAPU LAPU,06/13/2026 05:42,06/14/2026 01:00,19.30,Per Move," 8,000.00 "," 8,000.00 ",," 8,000.00 ",    ,    ,,    ," 8,000.00 "
,2026-15U,06/16/2026,UNMOORING,,SITE RESOURCES DEVELOPMENT CORPORATION,MT PANGLAO ISLAND,CEBU,SRDC LAPU LAPU,06/15/2026 11:54,06/16/2026 02:00,14.10,Per Move," 8,000.00 "," 8,000.00 ",," 8,000.00 ",    ,    ,,    ," 8,000.00 "
,,,,,,,,,,,,TOTAL,," 7,809,257.52 ",," 7,809,257.52 ",," 1,029,482.83 ",," 1,029,482.83 "," 8,838,740.35 "
,,,,,,,,,,,,,,,,,,,,,
