RECID,NUMBER,NAME,CREATEDDAT,CREATEDBY
28,001,BATANGAS,2022-09-30 09:39:17,1790
29,002,BOHOL,2022-09-30 09:39:17,1790
30,003,CEBU,2022-09-30 09:39:17,1790
31,004,CAGAYAN DE ORO,2022-09-30 09:39:17,1790
32,005,DAVAO,2022-09-30 09:39:17,1790
33,006,JIMENEZ,2022-09-30 09:39:17,1790
34,007,LEYTE,2022-09-30 09:39:17,1790
35,008,QUEZON,2022-09-30 09:39:17,1790
36,009,SUBIC,2022-09-30 09:39:17,1790
75,010,SURIGAO,2024-12-04 10:19:05,1790
76,011,GENSAN,2025-02-26 16:41:50,9039
